Timestamp,Egg ID,Type,Position,Size,Area,Aspect Ratio,Roundness
2025-03-19 10:00:04,23,Good Egg,"(516, 324)","(39, 25)",691.0,1.56,0.7666358450530019
2025-03-19 10:00:04,27,Good Egg,"(245, 318)","(140, 32)",2688.0,4.375,0.3210438673742865
2025-03-19 10:00:04,28,Bad Egg,"(14, 51)","(61, 63)",1936.0,0.9682539682539683,0.30811879785310037
2025-03-19 10:00:04,23,Good Egg,"(516, 325)","(40, 24)",706.0,1.6666666666666667,0.7832777212661528
2025-03-19 10:00:04,27,Good Egg,"(247, 318)","(133, 31)",2680.0,4.290322580645161,0.35687297683890484
2025-03-19 10:00:04,29,Good Egg,"(402, 308)","(79, 28)",1224.5,2.8214285714285716,0.3457768675915131
2025-03-19 10:00:04,28,Bad Egg,"(15, 50)","(61, 62)",2114.0,0.9838709677419355,0.49199870673763063
2025-03-19 10:00:05,23,Bad Egg,"(480, 338)","(92, 76)",2323.5,1.2105263157894737,0.3966305916897085
2025-03-19 10:00:05,23,Good Egg,"(517, 325)","(40, 23)",699.0,1.7391304347826086,0.7755115098278972
2025-03-19 10:00:05,27,Good Egg,"(247, 318)","(135, 31)",2580.0,4.354838709677419,0.2676764847870632
2025-03-19 10:00:05,29,Good Egg,"(403, 307)","(79, 30)",1224.5,2.6333333333333333,0.3393124797829055
2025-03-19 10:00:05,28,Good Egg,"(16, 47)","(61, 55)",1776.0,1.1090909090909091,0.3923203671584985
2025-03-19 10:00:05,23,Bad Egg,"(478, 338)","(93, 75)",2376.0,1.24,0.3560973158640102
2025-03-19 10:00:05,23,Good Egg,"(517, 325)","(39, 23)",676.0,1.6956521739130435,0.7618076814529138
2025-03-19 10:00:05,27,Good Egg,"(246, 318)","(143, 31)",2728.5,4.612903225806452,0.32209757444367065
2025-03-19 10:00:05,29,Good Egg,"(397, 307)","(85, 29)",1266.5,2.9310344827586206,0.29205841515261816
2025-03-19 10:00:05,28,Bad Egg,"(17, 48)","(61, 65)",1862.5,0.9384615384615385,0.35182203636601217
2025-03-19 10:00:05,30,Bad Egg,"(460, 338)","(110, 76)",2560.5,1.4473684210526316,0.130516896453124
2025-03-19 10:00:05,27,Good Egg,"(245, 319)","(129, 31)",2628.0,4.161290322580645,0.36806809427425763
2025-03-19 10:00:05,29,Bad Egg,"(395, 308)","(85, 29)",1193.5,2.9310344827586206,0.22366051967713124
2025-03-19 10:00:05,28,Good Egg,"(16, 50)","(59, 63)",2149.5,0.9365079365079365,0.5298704068980384
2025-03-19 10:00:05,30,Bad Egg,"(458, 338)","(113, 76)",2441.5,1.486842105263158,0.08941490310520839
2025-03-19 10:00:05,31,Good Egg,"(518, 325)","(37, 25)",685.0,1.48,0.7719500896701808
2025-03-19 10:00:05,29,Good Egg,"(402, 308)","(79, 29)",1205.0,2.7241379310344827,0.31897247535923173
2025-03-19 10:00:05,28,Good Egg,"(15, 50)","(60, 61)",1981.5,0.9836065573770492,0.33185178148673583
2025-03-19 10:00:05,31,Good Egg,"(516, 325)","(40, 24)",697.5,1.6666666666666667,0.7585034521915598
2025-03-19 10:00:05,32,Good Egg,"(246, 318)","(141, 31)",2711.0,4.548387096774194,0.3188856159172582
2025-03-19 10:00:05,28,Bad Egg,"(16, 47)","(61, 67)",1817.5,0.9104477611940298,0.25088103082996654
2025-03-19 10:00:05,31,Bad Egg,"(477, 338)","(94, 75)",2359.5,1.2533333333333334,0.40277593368376563
2025-03-19 10:00:05,33,Bad Egg,"(400, 283)","(82, 54)",792.0,1.5185185185185186,0.042282673814731074
2025-03-19 10:00:05,31,Bad Egg,"(459, 338)","(112, 76)",2397.5,1.4736842105263157,0.0782248689782098
2025-03-19 10:00:05,34,Good Egg,"(517, 325)","(39, 24)",685.0,1.625,0.7599790921633351
2025-03-19 10:00:05,35,Good Egg,"(247, 318)","(128, 31)",2593.5,4.129032258064516,0.36382534229999874
2025-03-19 10:00:05,33,Bad Egg,"(398, 300)","(84, 36)",1223.0,2.3333333333333335,0.17158653292775033
2025-03-19 10:00:05,31,Bad Egg,"(478, 325)","(94, 88)",764.0,1.0681818181818181,0.020066577079048232
2025-03-19 10:00:05,33,Bad Egg,"(402, 300)","(80, 36)",833.5,2.2222222222222223,0.07284966721583132
2025-03-19 10:00:05,36,Good Egg,"(518, 325)","(39, 26)",679.5,1.5,0.64939198107933
2025-03-19 10:00:05,37,Good Egg,"(247, 317)","(138, 31)",2620.5,4.451612903225806,0.29326278818323037
2025-03-19 10:00:05,33,Bad Egg,"(399, 307)","(83, 29)",1231.0,2.8620689655172415,0.3279173832903571
2025-03-19 10:00:05,37,Good Egg,"(248, 317)","(141, 32)",2691.5,4.40625,0.2741588536562247
2025-03-19 10:00:05,33,Good Egg,"(397, 308)","(86, 27)",1259.5,3.185185185185185,0.3742781693149679
2025-03-19 10:00:05,38,Bad Egg,"(16, 46)","(63, 65)",1945.0,0.9692307692307692,0.28152130586659097
2025-03-19 10:00:05,39,Good Egg,"(516, 325)","(46, 64)",702.5,0.71875,0.13276126422975815
2025-03-19 10:00:05,37,Good Egg,"(248, 318)","(134, 31)",2689.0,4.32258064516129,0.35267089882728087
2025-03-19 10:00:05,33,Good Egg,"(402, 308)","(80, 28)",828.5,2.857142857142857,0.09282960376457719
2025-03-19 10:00:05,39,Bad Egg,"(480, 324)","(92, 88)",757.5,1.0454545454545454,0.02227905683156443
2025-03-19 10:00:05,37,Good Egg,"(248, 319)","(141, 31)",2698.5,4.548387096774194,0.32113699274498647
2025-03-19 10:00:05,33,Bad Egg,"(402, 301)","(80, 35)",761.0,2.2857142857142856,0.07186199962656267
2025-03-19 10:00:05,39,Bad Egg,"(467, 336)","(173, 121)",2448.0,1.4297520661157024,0.06900242513744977
2025-03-19 10:00:05,39,Good Egg,"(517, 322)","(39, 24)",665.5,1.625,0.7633459202647171
2025-03-19 10:00:05,37,Good Egg,"(246, 319)","(139, 32)",2622.5,4.34375,0.26085320989315436
2025-03-19 10:00:05,33,Bad Egg,"(394, 307)","(86, 28)",814.5,3.0714285714285716,0.0771014816097742
2025-03-19 10:00:05,37,Good Egg,"(246, 320)","(125, 34)",2650.0,3.676470588235294,0.39403406912826044
2025-03-19 10:00:05,39,Good Egg,"(513, 319)","(40, 25)",691.5,1.6,0.7519786896446796
2025-03-19 10:00:05,40,Good Egg,"(10, 60)","(58, 56)",2009.5,1.0357142857142858,0.5465244186783432
2025-03-19 10:00:05,39,Good Egg,"(512, 314)","(38, 25)",674.5,1.52,0.7566361260661818
2025-03-19 10:00:05,41,Bad Egg,"(396, 297)","(79, 36)",1193.5,2.1944444444444446,0.19397084645731555
2025-03-19 10:00:05,40,Good Egg,"(4, 71)","(54, 63)",1931.0,0.8571428571428571,0.4086466536329
2025-03-19 10:00:05,42,Bad Egg,"(561, 393)","(76, 49)",1684.0,1.5510204081632653,0.25826266546465976
2025-03-19 10:00:05,43,Good Egg,"(240, 323)","(132, 35)",2685.5,3.7714285714285714,0.35704112041832914
2025-03-19 10:00:05,41,Bad Egg,"(394, 301)","(78, 30)",818.5,2.6,0.19883837587091968
2025-03-19 10:00:05,44,Good Egg,"(505, 310)","(38, 24)",677.0,1.5833333333333333,0.7801495652702186
2025-03-19 10:00:05,45,Bad Egg,"(238, 281)","(230, 80)",4166.5,2.875,0.10478871069429727
2025-03-19 10:00:05,46,Good Egg,"(579, 403)","(47, 34)",890.5,1.3823529411764706,0.33432065602074185
2025-03-19 10:00:05,47,Good Egg,"(231, 329)","(125, 37)",2728.0,3.3783783783783785,0.40333006896146467
2025-03-19 10:00:05,44,Good Egg,"(497, 310)","(39, 26)",703.5,1.5,0.7769572752206648
2025-03-19 10:00:05,46,Bad Egg,"(581, 403)","(35, 34)",512.5,1.0294117647058822,0.2788143416833752
2025-03-19 10:00:05,47,Good Egg,"(224, 333)","(125, 38)",2770.5,3.289473684210526,0.39702530865212665
2025-03-19 10:00:05,48,Bad Egg,"(440, 311)","(130, 98)",1012.5,1.3265306122448979,0.01561590804185386
2025-03-19 10:00:05,49,Bad Egg,"(573, 286)","(52, 33)",813.0,1.5757575757575757,0.4257278301393913
2025-03-19 10:00:05,47,Good Egg,"(210, 339)","(130, 41)",3054.5,3.1707317073170733,0.4136768242090128
2025-03-19 10:00:05,49,Bad Egg,"(556, 290)","(57, 34)",911.5,1.6764705882352942,0.34717258188334305
2025-03-19 10:00:05,47,Good Egg,"(193, 347)","(132, 40)",2916.5,3.3,0.38481445072657
2025-03-19 10:00:05,50,Bad Egg,"(415, 324)","(113, 85)",4066.5,1.3294117647058823,0.3019210482383708
2025-03-19 10:00:05,51,Good Egg,"(347, 321)","(78, 29)",1213.5,2.689655172413793,0.3950625266659075
2025-03-19 10:00:05,49,Bad Egg,"(544, 298)","(56, 33)",851.5,1.696969696969697,0.33285192314739587
2025-03-19 10:00:05,47,Good Egg,"(177, 352)","(135, 40)",2909.0,3.375,0.3707036286780014
2025-03-19 10:00:05,47,Good Egg,"(172, 355)","(132, 38)",2852.5,3.473684210526316,0.37755650106720273
2025-03-19 10:00:05,52,Bad Egg,"(330, 329)","(78, 33)",713.0,2.3636363636363638,0.07289422020087856
2025-03-19 10:00:05,52,Bad Egg,"(314, 332)","(91, 31)",1182.5,2.935483870967742,0.23108859057219042
2025-03-19 10:00:05,53,Bad Egg,"(518, 316)","(51, 32)",777.0,1.59375,0.41126330787142795
2025-03-19 10:00:05,54,Good Egg,"(168, 353)","(143, 36)",2847.5,3.9722222222222223,0.28038792038076815
2025-03-19 10:00:05,53,Bad Egg,"(517, 320)","(53, 32)",771.0,1.65625,0.36659895534093623
2025-03-19 10:00:05,54,Bad Egg,"(168, 334)","(237, 53)",4061.0,4.471698113207547,0.1248615004974441
2025-03-19 10:00:05,55,Bad Egg,"(324, 333)","(83, 30)",1194.5,2.7666666666666666,0.3144996808009757
2025-03-19 10:00:05,56,Bad Egg,"(520, 325)","(52, 31)",730.0,1.6774193548387097,0.31102065294571707
2025-03-19 10:00:05,55,Bad Egg,"(325, 327)","(84, 36)",1208.5,2.3333333333333335,0.20642237511513703
2025-03-19 10:00:05,56,Bad Egg,"(521, 326)","(57, 31)",729.0,1.8387096774193548,0.23280709749060674
2025-03-19 10:00:05,55,Bad Egg,"(324, 333)","(86, 30)",1126.0,2.8666666666666667,0.20024511046441726
2025-03-19 10:00:05,56,Bad Egg,"(523, 327)","(56, 31)",793.0,1.8064516129032258,0.38486451810983935
2025-03-19 10:00:05,57,Good Egg,"(176, 351)","(137, 34)",2834.5,4.029411764705882,0.33054592327081744
2025-03-19 10:00:06,57,Good Egg,"(180, 350)","(149, 34)",2786.0,4.382352941176471,0.21810055749678467
2025-03-19 10:00:06,58,Bad Egg,"(335, 311)","(82, 52)",1494.5,1.5769230769230769,0.1854740625419403
2025-03-19 10:00:06,57,Good Egg,"(182, 349)","(144, 35)",2858.5,4.114285714285714,0.2634730808676606
